Input Voltage (V),Output Current (A),Fault Type
319.6,3.97,No Fault
238.1,9.37,No Fault
241.3,16.34,No Fault
210.7,8.02,No Fault
233.6,16.97,No Fault
273.5,10.15,No Fault
317.9,13.51,No Fault
234.1,15.95,No Fault
217.4,13.36,No Fault
251.3,0.8,Open Circuit
313.3,9.05,No Fault
270.1,11.43,No Fault
233.1,7.06,No Fault
213.0,10.91,No Fault
254.4,1.69,No Fault
204.7,14.15,No Fault
314.0,2.13,No Fault
251.5,5.0,No Fault
285.4,1.46,No Fault
278.9,15.21,No Fault
244.2,14.14,No Fault
243.8,16.71,No Fault
267.9,18.88,No Fault
208.0,5.57,No Fault
309.9,12.15,No Fault
239.4,14.12,No Fault
279.8,7.39,No Fault
296.6,2.88,No Fault
216.7,19.82,No Fault
259.2,11.53,No Fault
213.6,6.9,No Fault
222.2,7.43,No Fault
286.2,11.07,No Fault
264.0,16.14,No Fault
246.7,11.28,No Fault
227.5,10.66,No Fault
291.5,18.89,No Fault
296.6,14.84,No Fault
281.1,18.84,No Fault
249.8,13.22,No Fault
252.1,17.87,No Fault
208.0,10.81,No Fault
226.7,5.18,No Fault
310.0,0.63,Open Circuit
245.2,6.82,No Fault
263.1,0.66,Open Circuit
230.5,19.47,No Fault
308.5,6.93,No Fault
268.1,3.45,No Fault
226.4,8.06,No Fault
228.8,4.36,No Fault
280.9,4.6,No Fault
295.3,5.7,No Fault
307.5,14.93,No Fault
291.6,5.81,No Fault
267.0,18.55,No Fault
287.7,6.84,No Fault
311.0,11.46,No Fault
316.3,14.44,No Fault
206.6,4.66,No Fault
210.8,17.57,No Fault
313.7,12.96,No Fault
267.0,0.91,Open Circuit
314.6,14.55,No Fault
288.3,1.77,No Fault
282.1,2.95,No Fault
207.3,16.41,No Fault
269.5,14.41,No Fault
290.1,2.13,No Fault
210.1,15.35,No Fault
229.9,19.18,No Fault
225.4,6.86,No Fault
310.5,7.59,No Fault
277.0,8.64,No Fault
290.0,17.42,No Fault
200.8,9.42,No Fault
258.0,0.77,Open Circuit
238.5,14.78,No Fault
254.4,6.15,No Fault
308.1,11.17,No Fault
234.6,12.93,No Fault
268.5,4.41,No Fault
223.0,19.41,No Fault
314.7,9.99,No Fault
270.5,13.39,No Fault
267.2,19.63,No Fault
284.9,19.07,No Fault
223.8,14.32,No Fault
312.8,13.01,No Fault
281.0,6.28,No Fault
232.9,18.75,No Fault
247.2,9.49,No Fault
258.3,4.07,No Fault
297.0,8.8,No Fault
306.1,12.88,No Fault
312.3,7.37,No Fault
234.9,10.0,No Fault
268.2,9.63,No Fault
300.0,2.02,No Fault
242.7,2.07,No Fault
255.1,12.25,No Fault
248.3,9.55,No Fault
311.1,3.11,No Fault
314.2,0.87,Open Circuit
275.2,1.37,No Fault
293.9,12.23,No Fault
212.1,11.29,No Fault
207.7,15.38,No Fault
247.6,9.95,No Fault
224.7,12.18,No Fault
228.9,5.64,No Fault
279.9,4.15,No Fault
307.6,6.65,No Fault
274.3,9.07,No Fault
287.2,6.31,No Fault
271.7,18.54,No Fault
279.8,16.49,No Fault
200.7,14.0,No Fault
201.7,4.24,No Fault
257.7,7.91,No Fault
257.5,8.01,No Fault
215.1,19.37,No Fault
251.3,15.77,No Fault
309.6,19.41,No Fault
279.0,5.38,No Fault
208.4,1.45,No Fault
280.7,16.05,No Fault
244.2,4.66,No Fault
319.4,1.33,No Fault
281.0,18.81,No Fault
292.2,11.27,No Fault
294.1,18.38,No Fault
296.1,4.09,No Fault
278.8,15.72,No Fault
312.0,18.6,No Fault
276.0,3.11,No Fault
262.8,7.8,No Fault
229.9,16.51,No Fault
230.9,14.34,No Fault
283.4,3.58,No Fault
285.2,14.56,No Fault
207.4,1.09,No Fault
298.6,17.21,No Fault
209.9,16.74,No Fault
251.3,19.48,No Fault
301.0,18.95,No Fault
258.7,13.31,No Fault
206.3,16.95,No Fault
231.6,2.76,No Fault
241.5,3.41,No Fault
292.7,4.81,No Fault
264.5,8.42,No Fault
281.4,6.51,No Fault
318.2,1.66,No Fault
268.3,5.44,No Fault
308.7,13.63,No Fault
264.7,3.82,No Fault
269.8,1.27,No Fault
262.0,16.29,No Fault
280.6,16.49,No Fault
220.1,6.84,No Fault
284.5,8.77,No Fault
266.6,6.52,No Fault
316.2,18.71,No Fault
269.0,11.37,No Fault
260.2,14.91,No Fault
253.8,14.05,No Fault
232.0,19.16,No Fault
200.6,10.26,No Fault
230.5,19.27,No Fault
300.8,18.98,No Fault
302.4,13.81,No Fault
286.1,10.17,No Fault
289.0,8.36,No Fault
245.5,2.32,No Fault
213.7,0.67,Open Circuit
200.8,8.64,No Fault
271.7,12.12,No Fault
311.5,15.5,No Fault
301.9,15.26,No Fault
259.4,7.3,No Fault
225.6,10.0,No Fault
262.2,16.46,No Fault
310.7,19.36,No Fault
267.6,11.4,No Fault
317.8,18.96,No Fault
239.7,8.43,No Fault
287.6,16.27,No Fault
298.3,16.1,No Fault
263.1,12.51,No Fault
297.0,16.25,No Fault
308.5,14.8,No Fault
216.1,16.06,No Fault
314.0,11.4,No Fault
251.3,10.05,No Fault
307.1,18.66,No Fault
249.4,9.33,No Fault
233.4,17.33,No Fault
303.1,15.27,No Fault
273.5,8.55,No Fault
224.3,9.93,No Fault
234.2,7.32,No Fault
211.9,2.36,No Fault
298.5,15.12,No Fault
297.8,12.22,No Fault
250.7,1.27,No Fault
201.4,1.49,No Fault
259.8,1.14,No Fault
218.9,12.16,No Fault
223.5,17.27,No Fault
302.5,18.01,No Fault
242.9,7.35,No Fault
276.6,3.9,No Fault
216.4,6.3,No Fault
247.6,12.47,No Fault
312.7,7.71,No Fault
257.3,7.69,No Fault
227.5,9.56,No Fault
223.5,16.56,No Fault
214.1,14.18,No Fault
253.6,14.72,No Fault
266.4,0.72,Open Circuit
203.6,12.78,No Fault
294.8,17.88,No Fault
215.0,18.91,No Fault
233.4,17.1,No Fault
309.3,10.54,No Fault
282.2,10.27,No Fault
315.1,6.57,No Fault
236.3,10.7,No Fault
309.0,14.31,No Fault
228.0,4.34,No Fault
297.8,2.9,No Fault
258.9,7.74,No Fault
246.4,10.18,No Fault
206.7,13.44,No Fault
207.7,12.83,No Fault
213.4,7.73,No Fault
228.3,19.63,No Fault
217.1,17.82,No Fault
246.3,2.76,No Fault
292.2,11.24,No Fault
303.5,11.64,No Fault
265.2,6.72,No Fault
277.4,5.46,No Fault
315.8,18.38,No Fault
298.1,16.38,No Fault
201.9,18.69,No Fault
299.0,18.45,No Fault
251.3,8.96,No Fault
244.2,11.66,No Fault
218.1,14.75,No Fault
209.1,2.22,No Fault
263.9,8.61,No Fault
314.0,7.96,No Fault
241.9,15.27,No Fault
236.7,16.32,No Fault
267.9,16.27,No Fault
311.2,11.46,No Fault
217.2,19.84,No Fault
274.7,19.18,No Fault
237.5,1.31,No Fault
209.7,11.4,No Fault
287.1,6.61,No Fault
270.0,2.64,No Fault
306.4,9.13,No Fault
312.4,1.16,No Fault
266.9,12.61,No Fault
252.5,15.14,No Fault
278.9,18.89,No Fault
267.0,0.54,Open Circuit
303.5,2.64,No Fault
200.1,11.25,No Fault
275.6,3.07,No Fault
291.5,15.51,No Fault
280.8,13.32,No Fault
311.5,5.75,No Fault
238.1,18.61,No Fault
211.1,1.54,No Fault
218.3,17.49,No Fault
256.8,8.01,No Fault
257.8,18.13,No Fault
266.3,11.8,No Fault
293.7,9.4,No Fault
265.9,4.64,No Fault
309.0,15.44,No Fault
222.3,2.12,No Fault
232.8,14.61,No Fault
279.8,15.22,No Fault
311.5,5.86,No Fault
268.5,9.36,No Fault
228.2,6.77,No Fault
267.6,16.34,No Fault
272.5,0.85,Open Circuit
254.7,2.22,No Fault
233.2,14.81,No Fault
228.4,7.21,No Fault
312.0,1.44,No Fault
223.5,18.21,No Fault
213.8,10.52,No Fault
215.2,18.97,No Fault
250.7,7.65,No Fault
315.8,12.91,No Fault
266.6,5.1,No Fault
200.6,5.16,No Fault
216.1,18.78,No Fault
215.7,11.73,No Fault
209.6,6.35,No Fault
208.3,7.94,No Fault
261.6,19.41,No Fault
295.7,8.85,No Fault
293.7,10.22,No Fault
304.0,19.02,No Fault
269.8,18.95,No Fault
270.9,19.21,No Fault
300.5,7.82,No Fault
210.2,7.26,No Fault
213.3,8.81,No Fault
311.8,4.08,No Fault
215.6,4.5,No Fault
243.6,6.15,No Fault
270.1,8.24,No Fault
270.4,7.91,No Fault
221.7,3.31,No Fault
307.6,3.43,No Fault
305.5,10.36,No Fault
201.2,10.91,No Fault
251.9,8.64,No Fault
286.1,3.61,No Fault
207.6,13.18,No Fault
205.8,10.63,No Fault
225.3,12.62,No Fault
309.1,13.81,No Fault
310.2,19.3,No Fault
251.7,12.66,No Fault
297.7,5.43,No Fault
219.3,4.67,No Fault
297.1,2.38,No Fault
265.1,18.47,No Fault
294.4,8.01,No Fault
308.8,0.72,Open Circuit
298.1,14.18,No Fault
292.8,3.85,No Fault
240.8,15.38,No Fault
280.8,11.26,No Fault
285.2,18.01,No Fault
302.2,15.33,No Fault
262.4,18.14,No Fault
203.9,9.39,No Fault
278.7,8.49,No Fault
202.8,10.15,No Fault
214.6,14.29,No Fault
310.1,12.13,No Fault
300.7,2.48,No Fault
239.9,14.33,No Fault
240.1,15.78,No Fault
252.5,19.21,No Fault
221.2,5.08,No Fault
200.8,14.66,No Fault
248.1,10.72,No Fault
275.0,8.4,No Fault
220.0,6.1,No Fault
233.3,14.7,No Fault
294.0,7.23,No Fault
299.9,5.97,No Fault
261.9,17.74,No Fault
245.3,4.91,No Fault
310.7,15.91,No Fault
236.1,19.84,No Fault
250.0,12.57,No Fault
288.6,2.06,No Fault
257.2,10.71,No Fault
246.3,12.25,No Fault
264.6,14.96,No Fault
221.3,10.37,No Fault
216.1,17.26,No Fault
214.4,19.9,No Fault
264.4,11.18,No Fault
266.7,11.57,No Fault
251.2,13.84,No Fault
288.7,8.18,No Fault
302.0,17.76,No Fault
244.5,5.4,No Fault
220.3,9.62,No Fault
264.5,17.71,No Fault
301.8,11.86,No Fault
278.9,11.46,No Fault
276.3,3.94,No Fault
255.8,2.18,No Fault
205.7,3.46,No Fault
308.1,9.56,No Fault
216.2,12.43,No Fault

